Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1961","1961","kg/ha","1129.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1962","1962","kg/ha","1253.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1963","1963","kg/ha","1338.7","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1964","1964","kg/ha","1384.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1965","1965","kg/ha","997","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1966","1966","kg/ha","1507","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1967","1967","kg/ha","831","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1968","1968","kg/ha","1365","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1969","1969","kg/ha","1111.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1970","1970","kg/ha","1217.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1971","1971","kg/ha","1205.7","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1972","1972","kg/ha","866.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1973","1973","kg/ha","1339.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1974","1974","kg/ha","1367.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1975","1975","kg/ha","1400.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1976","1976","kg/ha","1317.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1977","1977","kg/ha","941.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1978","1978","kg/ha","1765.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1979","1979","kg/ha","1451.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1980","1980","kg/ha","962.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1981","1981","kg/ha","1376.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1982","1982","kg/ha","770.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1983","1983","kg/ha","1702.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1984","1984","kg/ha","1545.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1985","1985","kg/ha","1369.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1986","1986","kg/ha","1447.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1987","1987","kg/ha","1364.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1988","1988","kg/ha","1578.7","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1989","1989","kg/ha","1578.7","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1990","1990","kg/ha","1634.4","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1991","1991","kg/ha","1469.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1992","1992","kg/ha","1781.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1993","1993","kg/ha","1965.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1994","1994","kg/ha","1135.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1995","1995","kg/ha","1789.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1996","1996","kg/ha","2096.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1997","1997","kg/ha","1841.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1998","1998","kg/ha","1859.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","1999","1999","kg/ha","2006.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2000","2000","kg/ha","1820.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2001","2001","kg/ha","2107.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2002","2002","kg/ha","907","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2003","2003","kg/ha","1999.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2004","2004","kg/ha","1634.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2005","2005","kg/ha","2021.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2006","2006","kg/ha","917.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2007","2007","kg/ha","1078.8","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2008","2008","kg/ha","1583.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2009","2009","kg/ha","1572.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2010","2010","kg/ha","2030.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2011","2011","kg/ha","2151.1","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2012","2012","kg/ha","1760.9","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0111","Wheat","2013","2013","kg/ha","2006.1","A","Official value",""
